dragon,name,type,reused,launch,customers,norad_ids,nationalities,manufacturers,mass_kg,mass_lbs,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",FalconSAT-2,Satellite,False,5eb87cd9ffd86e000604b32a,['DARPA'],[],['United States'],['SSTL'],20.0,43.0,LEO,geocentric,low-earth,,,,400.0,500.0,39.0,,,,,,,,5eb0e4b5b6c3bb0006eeb1e1
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",DemoSAT,Satellite,False,5eb87cdaffd86e000604b32b,['DARPA'],[],['United States'],['SpaceX'],,,LEO,geocentric,low-earth,,,,,,,,,,,,,,5eb0e4b6b6c3bb0006eeb1e2
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Trailblazer,Satellite,False,5eb87cdbffd86e000604b32c,['NASA'],[],['United States'],['Space Dev'],,,LEO,geocentric,low-earth,,,,,,,,,,,,,,5eb0e4b6b6c3bb0006eeb1e3
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",PRESat,Satellite,False,5eb87cdbffd86e000604b32c,['ORS'],[],['United States'],[],,,LEO,geocentric,low-earth,,,,,,,,,,,,,,5eb0e4b6b6c3bb0006eeb1e4
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",RatSat,Satellite,False,5eb87cdbffd86e000604b32d,['SpaceX'],[33393],['United States'],['SpaceX'],165.0,363.0,LEO,geocentric,low-earth,,6988.564,0.0013012,601.336,619.523,9.3448,96.904,,2022-11-30T07:27:28.000Z,14.86006859,192.617,331.2516,28.6966,5eb0e4b7b6c3bb0006eeb1e5
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",RazakSAT,Satellite,False,5eb87cdcffd86e000604b32e,['ATSB'],[35578],['Malaysia'],['Satrec'],200.0,440.0,LEO,geocentric,low-earth,,7047.782,0.0016973,657.685,681.609,8.9865,98.138,,2022-11-30T09:34:29.000Z,14.67317419,230.5004,297.8648,61.9823,5eb0e4b7b6c3bb0006eeb1e6
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Dragon Qualification Unit,Dragon Boilerplate,False,5eb87cddffd86e000604b32f,['SpaceX'],[36595],['United States'],['SpaceX'],,,LEO,geocentric,low-earth,,6634.458,0.0030715,235.945,276.701,34.5005,89.632,,2010-06-04T20:04:51.000Z,16.06552645,41.2862,213.759,146.1185,5eb0e4b7b6c3bb0006eeb1e7
"{'capsule': '5e9e2c5bf35918ed873b2664', 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': 11940, 'manifest': None, 'water_landing': True, 'land_landing': False}",COTS Demo Flight 1,Dragon 1.0,False,5eb87cdeffd86e000604b330,['NASA(COTS)'],[37244],['United States'],['SpaceX'],,,LEO,geocentric,low-earth,,6672.063,0.0021812,279.375,308.481,34.5447,90.396,,2010-12-08T15:34:03.000Z,15.9298967,180.7668,225.2707,136.6556,5eb0e4b9b6c3bb0006eeb1e8
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Cubesats,Satellite,False,5eb87cdeffd86e000604b330,['NRO'],[],[],[],,,LEO,geocentric,low-earth,,,,,,,,,,,,,,5eb0e4b9b6c3bb0006eeb1e9
"{'capsule': '5e9e2c5bf3591882af3b2665', 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': 806400, 'manifest': None, 'water_landing': True, 'land_landing': False}",COTS Demo Flight 2,Dragon 1.0,False,5eb87cdfffd86e000604b331,['NASA(COTS)'],[38348],['United States'],['SpaceX'],525.0,1157.0,LEO,geocentric,low-earth,,6711.684,0.0057963,294.646,372.452,51.6726,91.202,,2012-05-22T09:12:31.000Z,15.78904505,251.5418,331.7079,31.2745,5eb0e4bab6c3bb0006eeb1ea
